gsId,name,type,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,state,lat,lon,phone
9276,Achiever Christian School,private,PK-8,236,4,7,Paradise Unified School District,36,629820,01900554,"540 Sands Drive, 
San Jose, CA  95125",San Jose,CA,37.2886,-121.8732,(408) 264-6789
9507,Abraham Joshua Heschel Day School,private,K-8,361,4,9,Abc Unified School District,246,601620,02157581,"17701 Devonshire Street, 
Los Angeles, CA  91325",Los Angeles,CA,34.258606,-118.52034,(818) 368-5781
9557,ABC Little School,private,K-2,86,5,2,Sacramento City Unified School District,553,633840,A9100483,"6447 Woodman Avenue, 
Van Nuys, CA  91401",Van Nuys,CA,34.188076,-118.43155,(818) 786-5169
9561,Accelerated Learning Academy,private,6-12,492,4,5,Los Angeles Unified School District,286,622710,A9100495,"P.O. Box 2186, 
Lancaster, CA  93539",Lancaster,CA,34.6982,-118.1359,(661) 940-1636
9562,Adat Ari Elementary Day School,private,K-6,108,5,8,Redondo Beach Unified School District,307,600032,A9100497,"12020 Burbank Boulevard, 
Los Angeles, CA  91607",Los Angeles,CA,34.17182,-118.39514,(818) 766-4992
9563,Adda Clevenger School,private,K-8,124,4,8,Redondo Beach Unified School District,307,600032,A9100498,"180 Fair Oaks Street, 
San Francisco, CA  94110",San Francisco,CA,37.7537,-122.42452,(415) 824-2240
9564,Acts Advanced Christian Training Schools,private,K-12,90,5,4,Oakland Unified School District,14,628050,A1500137,"3025 Adelaida Road, 
Paso Robles, CA  93446",Paso Robles,CA,35.650322,-120.74909,(805) 239-0707
10297,Advanced Education Services-North Haven,private,K-12,15,3,8,Bonita Unified School District,256,605610,A9500657,"225 South Hope Street, 
Ukiah, CA  95482",Ukiah,CA,39.147995,-123.215126,(707) 947-7553
10315,Acts Christian Academy,private,K-8,90,3,4,Oakland Unified School District,14,628050,A9500695,"1034 66th Avenue, 
Oakland, CA  94621",Oakland,CA,37.758633,-122.196045,(510) 568-3333
10389,Advanced Education Services-Live Oak School,private,3-12,15,5,8,Bonita Unified School District,256,605610,A9500889,"10776 Fremont Street, 
Yucaipa, CA  92399",Yucaipa,CA,34.058056,-117.026695,(909) 790-9474
10477,ASA Silver Lake School,private,1-9,64,5,2,Abc Unified School District,246,601620,A9700494,"2772 Rowena Avenue, 
Los Angeles, CA  90039",Los Angeles,CA,34.107254,-118.26445,(323) 666-6706
10659,ABC Educational Center,private,K,365,4,2,Sacramento City Unified School District,553,633840,BB910149,"1129 Cole Ave, 
Los Angeles, CA  90038",Los Angeles,CA,34.09149,-118.330185,(323) 466-9984
10921,Abraham Lincoln Alternative School,public,K-12,98,4,2,Southern Kern Unified School District,238,637620,063762002045,"2601 Rosamond Boulevard, 
Rosamond, CA  93560",Rosamond,CA,34.864185,-118.17812,(661) 256-5090
11161,Academic/Vocational Charter Institute,charter,9-12,50,5,3,Pajaro Valley Unified School District,666,629490,062949008366,"112 Diamond Drive, 
Watsonville, CA  95076",Watsonville,CA,36.923912,-121.77228,(831) 728-6225
11296,ABC Little School,private,K-1,50,4,2,Sacramento City Unified School District,553,633840,A9302116,"927 North Fairfax Avenue, 
West Hollywood, CA  90046",West Hollywood,CA,34.08807,-118.36188,(323) 654-9920
11340,A. F. Williams Christian Academy,private,K-5,730,3,7,Cypress Elementary School District,470,610440,A9900190,"1437 West Centinela Avenue, 
Inglewood, CA  90302",Inglewood,CA,33.9767,-118.3647,(310) 674-8835
11342,Adat Y'shua Academy - Woodland Hills,private,2-9,108,5,8,Redondo Beach Unified School District,307,600032,A9900193,"Po Box 814, 
Los Angeles, CA  91365",Los Angeles,CA,34.17,-118.61,(818) 222-0200
11645,"Acaciawood School, Inc.",private,1-12,106,3,2,Hemet Unified School District,521,616920,BB980189,"2530 West La Palma Avenue, 
Anaheim, CA  92801",Anaheim,CA,33.846375,-117.97349,(714) 995-1800
11684,Acorn Woodland Elementary School,public,K-5,292,5,4,Oakland Unified School District,14,628050,062805010730,"1025 81st Avenue, 
Oakland, CA  94621",Oakland,CA,37.75286,-122.18605,(510) 639-3344
11752,Academy Of The Canyons,public,9-12,395,4,8,William S. Hart Union High School District,326,642510,064251008517,"26455 Rockwell Canyon Road, 
Santa Clarita, CA  91355",Santa Clarita,CA,34.40719,-118.56758,(661) 362-3056
11811,Abby Reinke Elementary School,public,K-5,808,4,9,Temecula Valley Unified School District,535,600028,060002808271,"43799 Sunny Meadows Drive, 
Temecula, CA  92592",Temecula,CA,33.491802,-117.08607,(951) 302-6610
11863,Adelante Charter School,charter,K-6,274,5,2,Santa Barbara Unified School District,1224,601414,060141408628,"1102 East Yanonali Street, 
Santa Barbara, CA  93103",Santa Barbara,CA,34.425632,-119.67914,(805) 966-7392
11910,ASCEND School,charter,K-8,433,4,4,Oakland Unified School District,14,628050,062805008677,"3709 East 12th Street, 
Oakland, CA  94601",Oakland,CA,37.774033,-122.22166,(510) 879-3140
11946,ABC Secondary (Alternative) School,public,7-12,64,5,2,Abc Unified School District,246,601620,060162010232,"16534 South Carmenita Road, 
Cerritos, CA  90703",Cerritos,CA,33.881546,-118.04635,(562) 229-7768
12098,Adele Harrison Middle School,public,6-8,415,4,5,Sonoma Valley Unified School District,833,637200,063720010436,"1150 Broadway, 
Sonoma, CA  95476",Sonoma,CA,38.28001,-122.45867,(707) 935-6080
12173,Accelerated Achievement Academy,charter,4-12,160,4,3,Ukiah Unified School District,373,640300,064030010552,"1031 North State Street, 
Ukiah, CA  95482",Ukiah,CA,39.16202,-123.20958,(707) 463-7080
12210,Academy for Academic Excellence,charter,K-12,1412,4,7,Apple Valley Unified School District,593,600017,060001707296,"17500 Mana Road, 
Apple Valley, CA  92307",Apple Valley,CA,34.532814,-117.2783,(760) 946-5414
12265,Academy Just for Kids,private,PK-5,703,4,2,Los Angeles Unified School District,286,622710,None,"6221 Fallbrook Avenue, 
Woodland Hills, CA  91367",Woodland Hills,CA,34.1832,-118.6234,(818) 347-3398
12742,Advantage Preparatory Schools,private,K-12,15,5,8,Santa Ana Unified School District,487,635310,BB020281,"22589 Hickory Place, 
Santa Clarita, CA  91390",Santa Clarita,CA,34.463646,-118.530174,(661) 296-5466
12968,A Plus Adventist Elementary School,private,K-1,37,4,2,Beaumont Unified School District,515,604290,AA000004,"234 North Isabel, 
Glendale, CA  91206",Glendale,CA,34.148796,-118.248856,(818) 241-9353
13424,A Better Chance / California Autism Foundation,private,K-12,29,4,2,Beaumont Unified School District,515,604290,K9300854,"4138 Lakeside Drive, 
Richmond, CA  94806",Richmond,CA,37.988487,-122.33088,(510) 262-1500
13655,Adult Education Program,public,n/a,1977,4,8,East Side Union High School District,632,611820,061182013454,"625 Educational Park Drive, 
San Jose, CA  95133",San Jose,CA,37.36564,-121.85906,(408) 928-9300
13670,Adult Education,public,n/a,1977,4,8,Conejo Valley Unified School District,1011,609640,060964013333,"1025 Old Farm Road, 
Thousand Oaks, CA  91360",Thousand Oaks,CA,34.205055,-118.86036,(805) 497-2761
13702,Adult Education,public,n/a,1977,4,8,Ceres Unified School District,876,608130,060813012588,"2491 Lawrence Street, 
Ceres, CA  95307",Ceres,CA,37.590195,-120.94979,(209) 556-1557
13789,Adult Education,public,n/a,1977,4,8,Washington Unified School District,1039,641580,064158013524,"919 Westacre Road, 
West Sacramento, CA  95691",West Sacramento,CA,38.57792,-121.52947,(916) 375-7901
13809,Accelerated Elementary Charter School,charter,K-6,492,4,5,Los Angeles Unified School District,286,622710,062271010830,"3914 S. Main Street, 
Los Angeles, CA  90037",Los Angeles,CA,34.011574,-118.27364,(323) 846-6694
13813,Adult Division Center,public,n/a,1977,4,8,Whittier Union High School District,327,642480,064248013392,"9401 South Painter Avenue, 
Whittier, CA  90605",Whittier,CA,33.952347,-118.04392,(562) 698-8121
13855,Abram Friedman Occupational,public,n/a,2045,4,5,Los Angeles Unified School District,286,622710,062271013497,"1646 South Olive Street, 
Los Angeles, CA  90015",Los Angeles,CA,34.034588,-118.26528,(213) 765-2400
13985,Adult Education,public,n/a,1977,4,8,Vacaville Unified School District,766,640590,064059013406,"100-A Mcclellan Street, 
Vacaville, CA  95688",Vacaville,CA,38.358513,-121.98361,(707) 453-6018
14001,A. Warren Mcclaskey Adult Center,public,n/a,365,4,2,Sacramento City Unified School District,553,633840,063384013258,"5241 J Street, 
Sacramento, CA  95819",Sacramento,CA,38.566467,-121.43915,(916) 277-6625
14062,Adult Education Division,public,n/a,1977,4,8,Jefferson Union High School District,787,618930,061893013224,"699 Serramonte Boulevard, Suite 111, 
Daly City, CA  94015",Daly City,CA,37.66842,-122.47754,(650) 550-7890
14086,Adult Education,public,n/a,1977,4,8,Mountain View-Los Altos Union High School District,649,626310,062631013505,"333 Moffett Boulevard, 
Mountain View, CA  94043",Mountain View,CA,37.398544,-122.07506,(650) 940-1333
14144,Acalanes Center For Independent Study,public,9-12,39,5,5,Acalanes Union High School District,39,601650,060165010751,"1963 Tice Valley Boulevard, 
Walnut Creek, CA  94595",Walnut Creek,CA,37.877663,-122.07422,(925) 280-3945
14207,Adelante Dual Language Academy,public,K-8,586,4,6,Alum Rock Union Elementary School District,625,602310,060231011793,"2999 Ridgemont Drive, 
San Jose, CA  95127",San Jose,CA,37.34457,-121.81271,(408) 928-1900
14301,Adult Education,public,n/a,1977,4,8,Saddleback Valley Unified School District,486,633860,063386013572,"25598 Peter A. Hartman Way, 
Mission Viejo, CA  92691",Mission Viejo,CA,33.620697,-117.68383,(949) 837-8830
14316,Adult Education,public,n/a,1977,4,8,Garden Grove Unified School District,474,614880,061488012598,"11262 Garden Grove Boulevard, 
Garden Grove, CA  92843",Garden Grove,CA,33.774162,-117.93564,(714) 663-6305
14475,Adult And Community Education,public,n/a,1977,4,8,Fremont Union High School District,635,614430,061443013651,"591 West Fremont Avenue, 
Sunnyvale, CA  94087",Sunnyvale,CA,37.353874,-122.0377,(408) 522-2700
14500,A. L. Conner Elementary School,public,PK-5,328,2,4,Kings Canyon Joint Unified School District,101,619700,061970010780,"222 Fourth Street, 
Orange Cove, CA  93646",Orange Cove,CA,36.629883,-119.30945,(559) 305-7200
14525,Academy Of The Redwoods,public,9-12,178,5,8,Fortuna Union High School District,144,614190,061419010801,"7351 Tompkins Hill Road, 
Eureka, CA  95501",Eureka,CA,40.69822,-124.19641,(707) 476-4203
14603,Adult And Career Education,public,n/a,1977,4,8,Pomona Unified School District,305,631320,063132013326,"1515 West Mission Boulevard, 
Pomona, CA  91766",Pomona,CA,34.05483,-117.77258,(909) 469-2333
14730,Acalanes Adult Education Center,public,n/a,477,4,3,Acalanes Union High School District,39,601650,060165013557,"1963 Tice Valley Boulevard, 
Walnut Creek, CA  94595",Walnut Creek,CA,37.87668,-122.07251,(925) 280-3980
14756,Adult Alternative Education,public,n/a,1977,4,8,Jurupa Unified School District,522,619260,061926013518,"4041 Pacific Avenue, 
Jurupa Valley, CA  92509",Jurupa Valley,CA,34.000977,-117.4221,(951) 222-7739
14767,Abc Adult,public,n/a,808,4,9,Abc Unified School District,246,601620,060162012587,"12254 Cuesta Drive, 
Cerritos, CA  90703",Cerritos,CA,33.878925,-118.07128,(562) 229-7960
14888,Access County Community School,public,K-12,2576,4,4,Orange County Department Of Education School District,1088,691024,069102410567,"200 Kalmus Drive, 
Costa Mesa, CA  92628",Costa Mesa,CA,33.672234,-117.8806,(714) 245-6403
15116,Achievekids School,private,K-12,51,5,7,Paradise Unified School District,36,629820,02013335,"1212 McGinness Avenue, 
San Jose, CA  95127",San Jose,CA,37.351105,-121.8227,(408) 928-5777
15133,A Tutoring Place High School,private,3-12,37,4,2,Beaumont Unified School District,515,604290,A0300099,"2781 Stonecrest Ct, 
Placerville, CA  95667",Placerville,CA,38.738472,-120.77508,(530) 642-3018
15134,ABC Hope for Kids,private,"PK-6, 8-12",365,4,2,Sacramento City Unified School District,553,633840,A0300102,"1720 Mountain View Ave, 
Loma Linda, CA  92354",Loma Linda,CA,34.071114,-117.24364,(909) 478-9035
15135,"Abc Little School, Studio City",private,K,88,4,9,Abc Unified School District,246,601620,A0300103,"11728 Moorpark Street, 
Los Angeles, CA  91604",Los Angeles,CA,34.150017,-118.388756,(818) 766-5557
15137,ABC Reign Accelerated Learning,private,"K, 2-3, 5-6",50,4,2,Sacramento City Unified School District,553,633840,A0300107,"1408 Stetson Ave, 
Modesto, CA  95350",Modesto,CA,37.6645,-121.010765,(209) 522-2222
15375,Abc Childcare Center,private,K,130,4,9,Abc Unified School District,246,601620,A0307071,"29705 Solana Way, 
Temecula, CA  92591",Temecula,CA,33.51755,-117.1455,(951) 699-5251
15947,A Bright Beginning,private,K-6,37,3,2,Beaumont Unified School District,515,604290,None,"2440 West Manchester Boulevard, 
Inglewood, CA  90305",Inglewood,CA,33.959675,-118.32065,(323) 753-0043
15952,Academic Academy Center,private,1-12,469,5,4,Los Angeles Unified School District,286,622710,None,"4321 West Hawthorne, 
Hawthorne, CA  90250",Hawthorne,CA,33.91643,-118.35267,(424) 262-9554
15953,Academie Bien Cultive (ABC),private,K-12,50,5,3,Pajaro Valley Unified School District,666,629490,None,"422 West School Street, 
Compton, CA  90220",Compton,CA,33.897385,-118.229774,(562) 595-3566
15954,Academy for Arts & Education,private,9-12,1412,5,7,Apple Valley Unified School District,593,600017,None,"1479 East Broadway Boulevard, 
Glendale, CA  91205",Glendale,CA,34.1463,-118.2317,(818) 551-1078
15956,Adat Y'shua Academy,private,K-11,108,5,8,Redondo Beach Unified School District,307,600032,None,"2891 Fairbanks Avenue, 
Simi Valley, CA  93063",Simi Valley,CA,34.287617,-118.713104,(818) 222-0200
16083,Advanced Education Academy,private,1-12,15,5,8,Bonita Unified School District,256,605610,None,"4490 Cornishon Avenue, 
La Canada, CA  91011",La Canada,CA,34.20516,-118.20324,(818) 952-1900
16333,Advanced Education Services-Whitewater High School,private,7-12,15,3,8,Bonita Unified School District,256,605610,None,"55860 Haugen-Lehmann, 
White Water, CA  92282",White Water,CA,33.925133,-116.68899,(760) 320-7271
16439,Advanced Education Services-Live Oak,private,K-12,15,5,8,Bonita Unified School District,256,605610,None,"34030 Avenue J, 
Yucaipa, CA  92399",Yucaipa,CA,34.0066,-117.0624,(909) 795-3635
16518,Academy of Exploration International,private,K-12,12,5,7,Apple Valley Unified School District,593,600017,None,"2890 Poplar Meadow Court, 
Jamul, CA  91935",Jamul,CA,32.7091,-116.8839,(619) 825-9833
16760,A. L. C. C. A.,private,K-12,489,4,2,Alum Rock Union Elementary School District,625,602310,None,"1309 Pelton Avenue, 
Modesto, CA  95351",Modesto,CA,37.6165,-121.0096,(209) 522-5390
16838,Achieve Charter School Of Paradise Inc.,charter,K-8,233,5,7,Paradise Unified School District,36,629820,062982011571,"771 Elliott Rd, 
Paradise, CA  95969",Paradise,CA,39.760323,-121.62078,(530) 872-4100
16907,Adelante High School,public,10-12,61,4,6,Riverbank Unified School District,894,600061,060006111814,"6801 Seventh Street, 
Riverbank, CA  95367",Riverbank,CA,37.737003,-120.92894,(209) 869-2383
16965,Adams (J. Douglas) Middle School,public,6-8,1167,4,8,Brentwood Union Elementary School District,41,605910,060591011574,"401 American Avenue, 
Brentwood, CA  94513",Brentwood,CA,37.918976,-121.75556,(925) 513-6480
17021,Academy For Change,public,7-12,14,5,6,Chico Unified School District,26,608370,060837011853,"290 East Avenue, 
Chico, CA  95926",Chico,CA,39.758522,-121.85838,(530) 891-3092
17066,Achieve Academy,charter,K-5,746,4,3,Oakland Unified School District,14,628050,062805011561,"1700 28th Avenue, 
Oakland, CA  94621",Oakland,CA,37.782078,-122.22671,(510) 904-6440
17077,Adult Education,public,n/a,1977,4,8,Upland Unified School District,621,600016,060001613489,"565 West 11th Street, 
Upland, CA  91786",Upland,CA,34.10452,-117.65869,(909) 949-7862
17161,Academy of the Two Hearts,private,K-12,477,4,3,Los Angeles Unified School District,286,622710,None,"1540 South Walker Avenue, 
San Pedro, CA  90731",San Pedro,CA,33.7303,-118.3034,(310) 832-3534
17239,Acme Academy,private,1-12,236,5,7,Paradise Unified School District,36,629820,None,"11071 Langley Drive, 
Los Alamitos, CA  90720",Los Alamitos,CA,33.8014,-118.0527,(562) 480-6186
17301,Abc School,private,K-12,88,5,9,Abc Unified School District,246,601620,None,"4540 Harlin Avenue, 
Sacramento, CA  95826",Sacramento,CA,38.535458,-121.35735,(916) 364-7800
